[2018-10-08T11:57:53.455] [INFO] default - [10.3.135.10 GET /www/images/big1-32bb887f2a.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:57.602] [INFO] default - [10.3.135.10 GET /www/images/big2-3db3ff8a57.jpg 304 11ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:01.463] [INFO] default - [10.3.135.10 GET /www/images/big3-b966ef5b19.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:05.496] [INFO] default - [10.3.135.10 GET /www/images/big4-8b61392485.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:08.272] [INFO] default - [10.3.135.10 GET /login 200 11ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:08.322] [INFO] default - [10.3.135.10 GET /www/css/base-fa7f8158cc.css 304 13ms][http://10.3.135.10:10000/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:08.330] [INFO] default - [10.3.135.10 GET /www/js/xframe-min-1-fac093c236.0.js 304 9ms][http://10.3.135.10:10000/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:08.334] [INFO] default - [10.3.135.10 GET /www/js/base-0a5a745a5f.js 304 12ms][http://10.3.135.10:10000/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:08.336] [INFO] default - [10.3.135.10 GET /www/images/logo-e5eaf9963c.png 304 15ms][http://10.3.135.10:10000/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:08.440] [INFO] default - [10.3.135.10 GET /captcha 200 118ms][http://10.3.135.10:10000/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:08.465] [INFO] default - [10.3.135.10 GET /www/images/weixin-d81945581f.jpg 304 26ms][http://10.3.135.10:10000/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:08.469] [INFO] default - [10.3.135.10 GET /www/css/others-3b2e4ee3ef.css 200 159ms][http://10.3.135.10:10000/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:26.332] [INFO] default - [10.3.135.10 GET /register 200 13ms][http://10.3.135.10:10000/login HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:58:26.372] [INFO] default - [10.3.135.10 GET /www/css/base-fa7f8158cc.css 304 11ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:58:26.377] [INFO] default - [10.3.135.10 GET /www/css/others-3b2e4ee3ef.css 304 14ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:58:26.379] [INFO] default - [10.3.135.10 GET /www/js/xframe-min-1-fac093c236.0.js 304 14ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:58:26.383] [INFO] default - [10.3.135.10 GET /www/js/base-0a5a745a5f.js 304 18ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:58:26.386] [INFO] default - [10.3.135.10 GET /www/images/logo-e5eaf9963c.png 304 20ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:58:26.389] [INFO] default - [10.3.135.10 GET /captcha 200 22ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:58:26.392] [INFO] default - [10.3.135.10 GET /www/images/weixin-d81945581f.jpg 304 1ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:58:49.811] [INFO] default - [10.3.135.10 GET /captcha?Mon%20Oct%2008%202018%2011:58:49%20GMT+0800%20(China%20Standard%20Time) 200 6ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:08.754] [INFO] default - [10.3.135.10 POST /register 200 314ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:10.549] [INFO] default - [10.3.135.10 GET / 200 31ms][http://10.3.135.10:10000/register HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:59:10.593] [INFO] default - [10.3.135.10 GET /www/css/base-fa7f8158cc.css 304 0ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
